                  epoch,         train/box_loss,         train/seg_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),   metrics/precision(M),      metrics/recall(M),       metrics/mAP50(M),    metrics/mAP50-95(M),           val/box_loss,           val/seg_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                0.97786,                 2.1181,                 1.9261,                 1.1706,                0.64563,                0.53475,                0.63005,                0.41202,                 0.7125,                0.47099,                 0.5914,                0.32889,                 1.1445,                 2.7956,                 1.8964,                 1.4337,             0.00065934,             0.00065934,             0.00065934
                      2,                 1.0913,                 2.2308,                 1.6244,                 1.2471,                0.54905,                0.44369,                0.48243,                 0.2491,                0.38833,                0.42036,                0.33379,                0.13589,                 1.4261,                 3.7508,                 2.0974,                 1.7616,              0.0012932,              0.0012932,              0.0012932
                      3,                 1.1915,                 2.5053,                 1.6865,                 1.3148,                0.56438,                0.55973,                0.58517,                0.35961,                0.57021,                0.51195,                0.53637,                0.27612,                 1.4109,                 3.3772,                 2.0066,                 1.6071,               0.001894,               0.001894,               0.001894
                      4,                 1.1563,                 2.3604,                  1.604,                 1.3036,                0.61994,                0.55973,                0.60054,                0.34529,                 0.5897,                0.53242,                0.52946,                0.26055,                  1.389,                 3.3257,                 1.9517,                 1.6309,              0.0018515,              0.0018515,              0.0018515
                      5,                 1.1397,                  2.318,                 1.4585,                 1.2813,                0.66004,                0.57679,                0.60522,                0.36112,                0.65285,                0.56655,                0.57541,                0.35135,                 1.3483,                 2.4535,                 1.7265,                 1.6165,              0.0018515,              0.0018515,              0.0018515
                      6,                 1.1451,                 2.3007,                 1.4601,                 1.3105,                0.64211,                0.51877,                0.57374,                0.33217,                0.64239,                0.51877,                0.56602,                0.30587,                 1.2561,                  2.315,                 1.5868,                 1.4969,               0.001802,               0.001802,               0.001802
                      7,                 1.0763,                 2.1589,                 1.3171,                 1.2556,                0.65895,                0.67235,                0.67948,                0.39894,                0.65226,                0.66553,                0.66625,                0.36652,                 1.1932,                 2.2194,                 1.5005,                 1.4279,              0.0017525,              0.0017525,              0.0017525
                      8,                 1.0341,                 2.0943,                 1.4021,                 1.2181,                0.65518,                0.53584,                0.62982,                0.40701,                0.57642,                0.58703,                0.61372,                0.37149,                 1.1578,                 2.2115,                 1.4182,                 1.4264,               0.001703,               0.001703,               0.001703
                      9,                 1.0555,                 2.1064,                 1.2597,                 1.2269,                 0.6627,                0.67056,                0.68616,                0.44313,                0.68806,                   0.67,                0.68315,                0.41799,                 1.1052,                 2.1475,                 1.3743,                 1.3875,              0.0016535,              0.0016535,              0.0016535
                     10,                 1.0343,                 2.0295,                  1.211,                 1.2183,                0.75508,                0.74744,                0.78757,                0.52065,                0.76452,                0.72355,                 0.7653,                0.48502,                 1.0568,                 2.1181,                 1.1486,                 1.3022,               0.001604,               0.001604,               0.001604
